철도운영기관명,운영노선,역 종류,역 번호,역명(한글),역명(영어),역명(로마자),역명(일본어),역명(중국어간체),역명(중국어번체),역명(부역명),환승역 여부,환승노선명,유실물 취급여부,안전발판 유무,스크린도어 설치유무,승강장 연결여부,승강장 유형,역 위치(경도),역 위치(위도),역 주소(지번주소),역 주소(도로명 주소),역사 전화번호,신설일자,폐지일자,상행거리,하행거리,데이터 기준일자,참고사항,
공항철도,공항철도선,도시/광역철도,A08,운서,Unseo,,雲西,云西,雲西,,불가능,,없음,,있음,있음,상대식,126.4937130,37.4928447,,인천광역시 중구 흰바위로59번길 26 (운서동) 운서역,032-745-7470,20070323,,3.6 ,4.3 ,20250531,,
공항철도,공항철도선,도시/광역철도,A09,공항화물청사,Incheon Int'l Airport Cargo Terminal,,空港貨物ターミナル,机场货物办公楼,機場貨物辦公樓,,불가능,,없음,,있음,있음,상대식,126.4774206,37.4589761,,인천광역시 중구 공항동로135번길 86 (운서동) 공항화물청사역,032-745-7480,20070323,,4.3 ,2.6 ,20250531,,
공항철도,공항철도선,도시/광역철도,A10,인천공항1터미널,Incheon Int'l Airport Terminal 1,,仁川国際空港　1ターミナル,仁川国际机场 1号航站楼,仁川國際機場1號航站樓,,불가능,,없음,,있음,있음,쌈섬식(2폼4선식),126.4580914,37.4475485,,인천광역시 중구 공항로 271 (운서동) 인천공항1터미널역,032-745-7490,20070323,,2.6 ,5.8 ,20250531,,
공항철도,공항철도선,도시/광역철도,A11,인천공항2터미널,Incheon Int'l Airport Terminal 2,,仁川国際空港　２ターミナル,仁川国际机场 2号航站楼,仁川國際機場2號航站樓,,불가능,,없음,,있음,있음,쌍상대식,126.4406136,37.4791740,,인천광역시 중구 공항로 272 인천국제공항2터미널역,032-745-7670,20180113,,5.8 ,-,20250531,,
광주교통공사,1호선,도시/광역철도,100,녹동,Nokdong,Nokdong,ノクトン,鹿洞,鹿洞,,불가능,,없음,없음,있음,있음,상대식,126.933932,35.107028,광주광역시 동구 용산동 1-1,광주광역시 동구 녹동길 45(용산동),062-604-8410,20040428,,1.9,,20250531,,
광주교통공사,1호선,도시/광역철도,101,소태,Sotae,Sotae,ソテ,所台,所台,,불가능,,있음,없음,있음,있음,상대식,126.932013,35.124108,광주광역시 동구 소태동 664-1,광주광역시 동구 남문로 지하 587(소태동),062-604-8410,20040428,,1.1,1.9,20250531,,
광주교통공사,1호선,도시/광역철도,102,학동증심사입구,Hak-dong·Jeungsimsa,Hak-dong·Jeungsimsa,ハクトン・チュンシムサイプク,鹤洞ㆍ证心寺,鹤洞ㆍ证心寺,,불가능,,없음,없음,있음,있음,상대식,126.928382,35.133023,광주광역시 동구 학동 1004-1,광주광역시 동구 남문로 지하 700(학동),062-604-8420,20040428,,0.9,1.1,20250531,,
광주교통공사,1호선,도시/광역철도,103,남광주,Namgwangju,Namgwangju,ナムグァンジュ,南光州,南光州,,불가능,,없음,없음,있음,없음,상대식,126.921807,35.1384,광주광역시 동구 학동 994,광주광역시 동구 제봉로 지하 1(학동),062-604-8430,20040428,,0.9,0.9,20250531,,
광주교통공사,1호선,도시/광역철도,104,문화전당(구도청),Culture Center (Former Provincial office),Culture Center (Former Provincial office),ムンファジョンダン,文化殿堂（原道厅）,文化殿堂（原道厅）,구도청,불가능,,없음,있음,있음,있음,섬식,126.92005,35.14661,광주광역시 동구 광산동 13,광주광역시 동구 문화전당로 26번길 지하 7(광산동),062-604-8440,20040428,,0.7,0.9,20250531,,
광주교통공사,1호선,도시/광역철도,105,금남로4가,Geumnamno 4(sa)-ga,Geumnamno 4(sa)-ga, クムナムロサガ,锦南路4街,锦南路4街,,불가능,,없음,없음,있음,있음,섬식,126.914446,35.150976,광주광역시 동구 금남로4가 105,광주광역시 동구 금남로 지하 210(금남로4가),062-604-8450,20040428,,0.6,0.7,20250531,,
광주교통공사,1호선,도시/광역철도,106,금남로5가,Geumnamno 5(o)-ga ,Geumnamno 5(o)-ga , クムナムロオガ,锦南路5街,锦南路5街,,불가능,,없음,없음,있음,있음,상대식,126.910933,35.15318,광주광역시 북구 북동 299,광주광역시 북구 금남로 지하 138(북동),062-604-8460,20040428,,1,0.6,20250531,,
광주교통공사,1호선,도시/광역철도,107,양동시장,Yangdong Market,Yangdong Market,ヤンドンシジャン,良洞市场,良洞市场,,불가능,,없음,없음,있음,있음,상대식,126.904489,35.154176,광주광역시 서구 양동 304-3,광주광역시 서구 경열로 지하 152(양동),062-604-8470,20040428,,0.6,1,20250531,,
광주교통공사,1호선,도시/광역철도,108,돌고개,Dolgogae,Dolgogae,トルゴゲ,石岭,石岭,,불가능,,없음,없음,있음,있음,상대식,126.895637,35.152047,광주광역시 서구 농성동 671-1,광주광역시 서구 경열로 지하 87(농성동),062-604-8480,20040428,,1.1,0.6,20250531,,
광주교통공사,1호선,도시/광역철도,109,농성,Nongseong,Nongseong,ノンソン,农城,农城,,불가능,,없음,없음,있음,없음,상대식,126.883973,35.153563,광주광역시 서구 농성동 483-11,광주광역시 서구 상무대로 지하 1123(농성동),062-604-8490,20040428,,0.7,1.1,20250531,,
광주교통공사,1호선,도시/광역철도,110,화정,Hwajeong,Hwajeong,ファジョン,花亭,花亭,,불가능,,없음,없음,있음,있음,상대식,126.877698,35.1525,광주광역시 서구 화정동 791,광주광역시 서구 상무대로 지하 1050(화정동),062-604-8500,20040428,,0.7,0.7,20250531,,
광주교통공사,1호선,도시/광역철도,111,쌍촌,Ssangchon,Ssangchon,サンチョン,双村,双村,,불가능,,없음,없음,있음,있음,상대식,126.869519,35.151793,광주광역시 서구 쌍촌동 1006,광주광역시 서구 상무대로 지하 983(쌍촌동),062-604-8510,20040428,,0.9,0.7,20250531,,
광주교통공사,1호선,도시/광역철도,112,운천,Uncheon,Uncheon,ウンチョン,云泉,云泉,,불가능,,없음,없음,있음,있음,상대식,126.858694,35.150486,광주광역시 서구 쌍촌동 1006,광주광역시 서구 상무대로 지하 883(쌍촌동),062-604-8520,20040428,,1.1,0.9,20250531,,
광주교통공사,1호선,도시/광역철도,113,상무(스마트저축은행),Sangmu(Smart Savings Bank),Sangmu(Smart Savings Bank), サンム,尙武,尙武,스마트저축은행,불가능,,없음,없음,있음,있음,상대식,126.848641,35.146784,광주광역시 서구 마륵동 162-3,광주광역시 서구 상무대로 지하 777(마륵동),062-604-8530,20040428,,0.7,1.1,20250531,,
광주교통공사,1호선,도시/광역철도,114,김대중컨벤션센터(마륵),Kim Daejung Convention Center (Mareuk),Kim Daejung Convention Center (Mareuk),キム·テジュンコンベンションセンタ―,金大中会展中心（马勒）,金大中会展中心（马勒）,마륵,불가능,,없음,없음,있음,있음,상대식,126.841442,35.143214,광주광역시 서구 마륵동 170-40,광주광역시 서구 상무대로 지하 705(마륵동),062-604-8540,20040411,,2.9,0.7,20250531,,
광주교통공사,1호선,도시/광역철도,115,공항,Airport,Airport,空港,机场,机场,,불가능,,없음,없음,있음,있음,상대식,126.81153,35.144179,광주광역시 광산구 신촌동 682-29,광주광역시 광산구 상무대로 지하 416-99(신촌동),062-604-8550,20040411,,1.1,2.9,20250531,,
광주교통공사,1호선,도시/광역철도,116,송정공원,Songjeong Park,Songjeong Park,ソンジョンゴンウォン,松汀公园,松汀公园,,불가능,,없음,없음,있음,있음,상대식,126.799245,35.143565,광주광역시 광산구 송정동 713,광주광역시 광산구 상무대로 지하 314-99(송정동),062-604-8560,20040411,,1.1,1.1,20250531,,
광주교통공사,1호선,도시/광역철도,117,광주송정역,GwangjuSongjeong Station,GwangjuSongjeong Station,クァンジュソンジョン駅,光州松汀站,光州松汀站,,불가능,,없음,없음,있음,있음,상대식,126.791488,35.137529,광주광역시 광산구 송정동 1003-12,광주광역시 광산구 상무대로 지하 201-99(송정동),062-604-8570,20040411,,0.7,1.1,20250531,,
광주교통공사,1호선,도시/광역철도,118,도산,Dosan,Dosan,トサン,道山,道山,,불가능,,없음,없음,있음,있음,상대식,126.787942,35.131713,광주광역시 광산구 도산동1023-3,광주광역시 광산구 상무대로 지하 125-99(도산동),062-604-8580,20040411,,1.8,0.7,20250531,,
광주교통공사,1호선,도시/광역철도,119,평동,Pyeong-dong,Pyeong-dong,ピョンドン,平洞,平洞,,불가능,,없음,없음,있음,없음,상대식,126.769586,35.1247,광주광역시 광산구 월전동 51-23,광주광역시 광산구 평동로 870(월전동),062-604-8590,20040411,,,1.8,20250531,,
서울교통공사,8호선,도시/광역철도,2810,암사역사공원,Amsa History Park,,アムサヨクサゴンウォン,岩寺历史公园,,,,,없음,없음,있음,,상대식,127.135556,37.556667,서울특별시 강동구 암사동 387 암사역사공원역(8호선),서울특별시 강동구 아리수로 27번길2(암사동),02-6311-8091,20240810,,3.5,3.5,20251231,,
서울교통공사,8호선,도시/광역철도,2811,암사,Amsa,,アムサ,岩寺,,,,,없음,없음,있음,,상대식,127.127521,37.550127,서울특별시 강동구 암사동 501 암사역(8호선),서울특별시 강동구 올림픽로 지하776(암사동),02-6311-8101,19991231,,1.1,1.1,20251231,,
서울교통공사,8호선,도시/광역철도,2812,천호(풍납토성),Cheonho(Pungnaptoseong),,チョンホ,千戶(风纳土城),,풍납토성,O,8호선,없음,없음,있음,,상대식,127.123179,37.53792,서울특별시 강동구 천호동 455 천호역(8호선),서울특별시 강동구 천호대로 지하997(천호동),02-6311-5471,19991231,,1.3,1.3,20251231,,
김포골드라인,김포골드라인,도시/광역철도,G100,양촌역,Yangchon ,해당없음,ヤンチョン(陽村),阳村,陽村,,불가능,,없음,없음,있음,있음,상대식,126.614720,37.641730,경기도 김포시 양촌읍 유현리 275-7,경기도 김포시 양촌읍 양촌역길 107,031-8048-1700,20190928,,,1.44,20251231,,
김포골드라인,김포골드라인,도시/광역철도,G101,구래역,Gurae ,해당없음,クレ(九来),九来,九来,,불가능,,없음,없음,있음,있음,섬식,126.628800,37.645330,경기도 김포시 구래동 6880-8,경기도 김포시 김포한강7로 87,031-8048-1710,20190928,,1.44,1.614,20251231,,
김포골드라인,김포골드라인,도시/광역철도,G102,마산역,Masan ,해당없음,マサン(麻山),麻山,麻山,,불가능,,없음,없음,있음,있음,상대식,126.643496,37.640621,경기도 김포시 마산동 641-3,경기도 김포시 김포한강3로 지하 442,031-8048-1720,20190928,,1.614,2.581,20251231,,
김포골드라인,김포골드라인,도시/광역철도,G103,장기역,Janggi ,해당없음,チャンギ(場基）,场基,場基,,불가능,,없음,없음,있음,있음,상대식,126.669190,37.644165,경기도 김포시 장기동 1798,경기도 김포시 김포한강1로 지하 59,031-8048-1730,20190928,,2.581,1.73,20251231,,
김포골드라인,김포골드라인,도시/광역철도,G104,운양역,Unyang ,해당없음,ウニャン(雲陽）,云阳,雲陽,,불가능,,없음,없음,있음,있음,상대식,126.683860,37.653785,경기도 김포시 운양동 1299-4,경기도 김포시 김포한강1로 지하 235,031-8048-1740,20190928,,1.73,3.354,20251231,,
김포골드라인,김포골드라인,도시/광역철도,G105,걸포북변역,Geolpo Bukbyeon ,해당없음,コルポブクビョン(傑浦北邊）,杰浦北边,傑浦北邊,,불가능,,없음,없음,있음,있음,상대식,126.705789,37.631631,경기도 김포시 북변동 909-6,경기도 김포시 김포대로 지하 1040,031-8048-1750,20190928,,3.354,1.822,20251231,,
김포골드라인,김포골드라인,도시/광역철도,G106,사우역,Sau(Gimpo City Hall),해당없음,サウ(キンポ市庁),沙隅(金浦市厅),沙隅,,불가능,,있음,없음,있음,있음,상대식,126.719660,37.620260,경기도 김포시 사우동 913,경기도 김포시 김포대로 지하 852,031-8048-1760,20190928,,1.822,1.425,20251231,,
김포골드라인,김포골드라인,도시/광역철도,G107,풍무역,Pungmu,해당없음,プンム(豊舞),丰舞,豊舞,,불가능,,없음,없음,있음,있음,상대식,126.732716,37.612292,경기도 김포시 사우동 542-6,경기도 김포시 김포대로 지하 710,031-8048-1770,20190928,,1.425,3.617,20251231,,
김포골드라인,김포골드라인,도시/광역철도,G108,고촌역,Gochon ,해당없음,コチョン(高村）,高村,高村,,불가능,,없음,없음,있음,있음,상대식,126.770225,37.601407,경기도 고촌읍 신곡리 1100,경기도 김포시 고촌읍 김포대로 지하 350,031-8048-1780,20190928,,3.617,5.894,20251231,,
김포골드라인,김포골드라인,도시/광역철도,G109,김포공항역,Gimpo Int‘l Airport ,해당없음,金浦空港(キンポ空港),金浦机场,金浦空港,,가능,"5호선, 9호선, 서해선, 공항철도",없음,없음,있음,있음,상대식,126.801603,37.562452,서울특별시 강서구 방화동 886,서울특별시 강서구 하늘길 지하 77,031-8048-1790,20190928,,5.894,,20251231,,
남서울경전철,신림선,도시/광역철도,S401,샛강,Saetgang,Saetgang,セッカン,赛江,賽江,,가능,9호선,없음,없음,있음,없음,상대식,126.929403964,37.517219937,서울시 영등포구 여의도동 56,서울특별시 영등포구 의사당대로 지하 166,02-890-222702-890-2228,20220528,,-,0.603,20230511,,
남서울경전철,신림선,도시/광역철도,S402,대방(성애병원),Daebang(Sungae Hospital),Daebang(Sungae Byungwon),テバン(聖愛病院),大方(圣爱医院),大方(圣爱医院),성애병원,가능,1호선,없음,없음,있음,없음,상대식,126.925316781,37.512840166,서울특별시 영등포구 신길동 1376-1,서울특별시 영등포구 여의대방로 300 (신길동),02-890-222702-890-2228,20220528,,0.603,0.809,20231221,,
남서울경전철,신림선,도시/광역철도,S403,서울지방병무청,Seoul Regional Office of Millitary Manpower,Seoul Jibang Byungmuchung,ソウルジバンビョンムチョン,首尔地方兵务厅,首爾地方兵務廳,,불가능,,없음,없음,있음,없음,상대식,126.922783404,37.506046870,서울시 동작구 대방동 466-41,서울특별시 동작구 여의대방로 지하218 (대방동),02-890-222702-890-2228,20220528,,0.809,0.636,20231221,,
남서울경전철,신림선,도시/광역철도,S404,보라매,Boramae,Boramae,ポラメ,波拉美,波拉美,,가능,7호선,없음,없음,있음,없음,상대식,126.920485864,37.500312709,서울시 동작구 대방동 466-49,서울특별시 동작구 상도로 지하2 (대방동),02-890-222702-890-2228,20220528,,0.636,0.669,20231221,,
남서울경전철,신림선,도시/광역철도,S405,보라매공원,Boramae Park,Boramae Gongwon,ポラメゴンウォン,波拉美公园,波拉美公園,,불가능,,없음,없음,있음,없음,상대식,126.918258811,37.495225405,서울시 동작구 신대방동 722,서울특별시 동작구 여의대방로20길 지하11 (신대방동),02-890-222702-890-2228,20220528,,0.669,0.604,20231221,,
남서울경전철,신림선,도시/광역철도,S406,보라매병원(전문건설회관),Boramae Medical Center(Boramae Specialty Contractor Center),Boramae Byungwon(Jeonmun Gunseol Hoe Gyan),ポラメビョンウォン(専門建設会館),波拉美医院(專門建設會館),波拉美醫院(專門建設會館),전문건설회관,불가능,,있음,없음,있음,없음,상대식,126.923886086,37.493071762,서울특별시 동작구 신대방동 425,서울특별시 동작구 보라매로5길 지하24 (신대방동),02-890-222702-890-2228,20220528,,0.604,0.519,20231221,,
남서울경전철,신림선,도시/광역철도,S407,당곡,Danggok,Danggok,タンゴク,堂谷,堂谷,,불가능,,없음,없음,있음,없음,상대식,126.927568759,37.490039105,서울시 관악구 봉천동 985,서울특별시 관악구 보라매로 6 (봉천동),02-890-222702-890-2228,20220528,,0.519,0.643,20231221,,
남서울경전철,신림선,도시/광역철도,S408,신림,Sillim,Sillim,シンリム,新林,新林,,가능,2호선,없음,없음,있음,있음,섬식,126.929609920,37.484890755,서울시 관악구 신림동 1467-10,서울 관악구 남부순환로 지하 1614,02-890-222702-890-2228,20220528,,0.643,0.836,20230511,,
남서울경전철,신림선,도시/광역철도,S409,서원,Seowon,Seowon,ソウォン,书院,書院,,불가능,,없음,없음,있음,없음,상대식,126.933228219,37.478273360,서울특별시 관악구 신림동 808-717,서울특별시 관악구 신림로 258 (신림동),02-890-222702-890-2228,20220528,,0.836,1.053,20231221,,
남서울경전철,신림선,도시/광역철도,S410,서울대벤처타운,Seoul National Univ. Venture Town,SeoulDae Venture Town,ソウルデベンチャータウン,首尔大学创投城,首爾大學創投城,,불가능,,없음,없음,있음,없음,상대식,126.933976556,37.472040680,서울특별시 관악구 신림동 110-99,서울특별시 관악구 신림로 144 (신림동),02-890-222702-890-2228,20220528,,1.053,1.121,20231221,,
남서울경전철,신림선,도시/광역철도,S411,관악산(서울대),Gwanaksan (Seoul National Univ.),Gwanaksan (SeoulDae),クァナクサン(ソウル大),冠岳山(首尔大学),冠岳山(首爾大),서울대,불가능,,없음,없음,있음,없음,상대식,126.944954837,37.469168960, 서울특별시 관악구 신림동 211-10,서울특별시 관악구 신림로 23 (신림동),02-890-222702-890-2228,20220528,,1.121,-,20231221,,
남양주도시공사,진접선,도시/광역철도,405,진접역,Jinjeop,Jinjeop,チンジョプ,榛接,榛接,,불가능,,있음,없음,있음,있음,상대식,127.203167,37.720472,경기도 남양주시 진접읍 금곡리 1021-3,경기도 남양주시 진접읍 경복대로 244,02-6110-1961,20220319,,,2.1,20241219,,
남양주도시공사,진접선,도시/광역철도,406,오남역,Onam,Onam,オナム,梧南,梧南,,불가능,,없음,없음,있음,있음,상대식,127.192944,37.705556,경기도 남양주시 오남읍 양지리 685-2,경기도 남양주시 오남읍 진건오남로 929,02-6110-1921,20220319,,2.1,7.7,20241219,,
남양주도시공사,진접선,도시/광역철도,408,별내별가람역,Byeollae Byeolgaram,Byeollae Byeolgaram,ピョルネビョルガラム,別內星江,別內星江,,불가능,,없음,없음,있음,있음,상대식,127.1913,37.7053,경기도 남양주시 별내동 836,경기도 남양주시 별내3로 345,02-6110-1901,20220319,,7.7,4.4,20241219,,
서울교통공사,8호선,도시/광역철도,2813,강동구청,Gangdong-gu Office,,カンドングチョン,江东区厅,,,,,없음,없음,있음,,상대식,127.120461,37.530348,서울특별시 강동구 성내동 319 강동구청역(8호선),서울특별시 강동구 올림픽로 지하550(성내동),02-6311-8121,19991231,,0.9,0.9,20251231,,
서울교통공사,8호선,도시/광역철도,2814,몽촌토성(평화의문),Mongchontoseong(World Peace Gate),,モンチョントソン,梦村土城(和平之门),,평화의문,,,없음,있음,있음,,상대식,127.11274,37.517692,서울특별시 송파구 신천동 19 몽촌토성역(8호선),서울특별시 송파구 올림픽로 지하383(신천동),02-6311-8131,19991231,,1.6,1.6,20251231,,
대구교통공사,2호선,도시/광역철도,239,고산,Gosan,없음,없음,없음,孤山,없음,불가능,없음,없음,없음,있음,있음,상대식,128.6900 ,35.8400 ,-,대구광역시 수성구 달구벌대로 3080,053-791-0858,20051018,-,1.2,1.1,20250531,,
대구교통공사,3호선,도시/광역철도,332,건들바위,Geondeulbawi,없음,없음,없음,없음,없음,불가능,없음,없음,없음,있음,없음,상대식,128.5996903,35.85538252,-,대구광역시 남구 명덕로 260(이천동),053-327-1670,20150423,-,0.9,0.6,20250531,,
대구교통공사,1호선,도시/광역철도,0115,설화명곡,Seolhwa·Myeonggok,없음,없음,없음,舌化椧谷,없음,불가능,없음,없음,없음,있음,있음,상대식,128.4893927,35.7986179,-,대구광역시 달성군 비슬로 지하 2476,053-634-2674,20160908,-,0,1.2,20250531,,
대구교통공사,1호선,도시/광역철도,0116,화원,Hwawon,없음,없음,없음,花園,없음,불가능,없음,없음,있음,있음,있음,상대식,128.500409,35.804349,-,대구광역시 달성군 화원읍 비슬로 2600,053-634-5125,20160908,-,1.2,1.3,20250531,,
대구교통공사,1호선,도시/광역철도,0117,대곡(정부대구청사),Daegok(Central Gov't Office-Daegu),없음,없음,없음,大谷(政府大邱廳舍),정부대구청사,불가능,없음,없음,없음,있음,없음,상대식,128.51117,35.809271,-,대구광역시 달서구 비슬로 지하 2718,053-644-7723,20020630,-,1.3,1,20250531,,
대구교통공사,1호선,도시/광역철도,0118,진천,Jincheon,없음,없음,없음,辰泉,없음,불가능,없음,없음,없음,있음,없음,상대식,128.522374,35.813815,-,대구광역시 달서구 월배로 지하 76,053-642-7723,19971126,-,1,0.8,20250531,,
대구교통공사,1호선,도시/광역철도,0119,월배,Wolbae,없음,없음,없음,月背,없음,불가능,없음,없음,없음,있음,없음,상대식,128.530119,35.816123,-,대구광역시 달서구 월배로 지하 143,053-642-7732,19971126,-,0.8,0.7,20250531,,
대구교통공사,1호선,도시/광역철도,0120,상인,Sangin,없음,없음,없음,上仁,대구보훈병원,불가능,없음,없음,없음,있음,없음,상대식,128.536959,35.819398,-,대구광역시 달서구 월배로 지하 223,053-642-7745,19971126,-,0.7,0.9,20250531,,
대구교통공사,1호선,도시/광역철도,0121,월촌,Wolchon,없음,없음,없음,月村,없음,불가능,없음,없음,없음,있음,있음,상대식,128.545465,35.823695,-,대구광역시 달서구 월배로 지하 311,053-626-7710,19971126,-,0.9,1,20250531,,
대구교통공사,1호선,도시/광역철도,0122,송현,Songhyeon,없음,없음,없음,松峴,없음,불가능,없음,없음,없음,있음,없음,상대식,128.551755,35.831092,-,대구광역시 달서구 월배로 지하 412,053-626-7730,19980502,-,1,0.8,20250531,,
대구교통공사,1호선,도시/광역철도,0123,서부정류장(관문시장),Seobu Bus Terminal(Gwanmun Market),없음,없음,없음,西部客運站(關門市場),관문시장,불가능,없음,없음,있음,있음,없음,상대식,128.552630,35.837337,-,대구광역시 남구 월배로 지하501 (대명동),053-651-7736,19971130,-,0.8,0.8,20250531,,
대구교통공사,1호선,도시/광역철도,0124,대명,Daemyeong,없음,없음,없음,大明,없음,불가능,없음,없음,없음,있음,없음,상대식,128.561285,35.839292,-,대구광역시 남구 대명로 지하71,053-627-7746,19971126,-,0.8,0.8,20250531,,
대구교통공사,1호선,도시/광역철도,0125,안지랑,Anjirang,없음,없음,없음,없음,없음,불가능,없음,없음,없음,있음,없음,상대식,128.57,35.839,-,대구광역시 남구 대명로 지하 141,053-626-7747,19971126,-,0.8,0.7,20250531,,
대구교통공사,1호선,도시/광역철도,0126,현충로,Hyeonchungno station,없음,없음,없음,   顯忠路,없음,불가능,없음,없음,없음,있음,없음,상대식,128.3453,35.50272,-,대구광역시 남구 대명로 지하222 (대명동),053-651-7756,19971126,-,0.7,0.7,20250531,,
대구교통공사,1호선,도시/광역철도,0127,영대병원,Yeungnam University Hospital,없음,없음,없음,嶺大病院,없음,불가능,없음,없음,없음,있음,없음,상대식,128.5882407,35.8442516,-,대구광역시 남구 대명로 지하 292 영대병원역,053-626-7760,19971126,-,0.9,0.7,20250531,,
대구교통공사,1호선,도시/광역철도,0128,교대,National University Of Education,없음,없음,없음,敎大,없음,불가능,없음,없음,없음,있음,있음,상대식,128.5864303,35.8510953,-,대구광역시 남구 중앙대로 지하 194(대명동),053-473-7702,19971126,-,0.9,0.8,20250531,,
대구교통공사,1호선,도시/광역철도,0129,명덕(2.28민주운동기념회관),Myeongdeok(The 2‧28 Movement for Democracy museum),없음,없음,없음,明德(2‧28 民主運動紀念會館),2.28민주운동기념회관,가능,없음,없음,있음,있음,있음,상대식,128.5906,35.85732,-,대구광역시 중구 명덕로 지하185(남산동),053-255-7723,19971130,-,0.7,0.7,20250531,,
대구교통공사,1호선,도시/광역철도,0130,반월당,Banwoldang,없음,없음,없음,半月堂,없음,가능,없음,있음,없음,있음,있음,상대식,128.593312,35.86389,-,대구광역시 중구 달구벌대로 지하2100(덕산동),053-255-7735,19971126,-,0.8,0.7,20250531,,
대구교통공사,1호선,도시/광역철도,0132,대구역,Daegu Station,없음,없음,없음,大邱驛,없음,불가능,없음,없음,있음,있음,없음,상대식,128.596919,35.876379,-,대구광역시 북구 칠성남로30길 지하 24,053-426-7797,19980502,-,0.7,0.8,20250531,,
대구교통공사,1호선,도시/광역철도,0133,칠성시장, Chilseong Market,없음,없음,없음,七星市場,없음,불가능,없음,없음,있음,있음,없음,상대식,128.604185,35.876459,-,대구광역시 북구 칠성남로 지하222 (칠성동),053-427-7751,1988.05.02,-,1.2,0.9,20250531,,
대구교통공사,1호선,도시/광역철도,0134,신천(경북대입구),Sincheon(Kyungpook Nat'l Univ.),없음,없음,없음,新川 (慶北大入口),경북대입구,불가능,없음,없음,없음,있음,없음,상대식,128.617244,35.875027,-,대구광역시 동구 동부로 지하 41,053-756-7706,19980502,-,1.2,0.9,20250531,,
